unique_id,n_total,n_train,train_start_ds,train_end_ds,n_validation,validation_start_ds,validation_end_ds,n_test,test_start_ds,test_end_ds
6142150,14973,10481,1984-01-01,2012-09-10,2246,2012-09-11,2018-11-04,2246,2018-11-05,2024-12-28
6142200,14973,10481,1984-01-01,2012-09-10,2246,2012-09-11,2018-11-04,2246,2018-11-05,2024-12-28
6142500,1824,1276,1984-01-01,1987-06-29,274,1987-06-30,1988-03-29,274,1988-03-30,1988-12-28
6142520,14973,10481,1984-01-01,2012-09-10,2246,2012-09-11,2018-11-04,2246,2018-11-05,2024-12-28
6142551,14973,10481,1984-01-01,2012-09-10,2246,2012-09-11,2018-11-04,2246,2018-11-05,2024-12-28
6142600,3224,2256,1984-01-01,1990-03-05,484,1990-03-06,1991-07-02,484,1991-07-03,1992-10-28
6142601,14973,10481,1984-01-01,2012-09-10,2246,2012-09-11,2018-11-04,2246,2018-11-05,2024-12-28
6142620,14973,10481,1984-01-01,2012-09-10,2246,2012-09-11,2018-11-04,2246,2018-11-05,2024-12-28
6142640,14973,10481,1984-01-01,2012-09-10,2246,2012-09-11,2018-11-04,2246,2018-11-05,2024-12-28
6142650,9068,6347,1984-01-01,2001-05-17,1360,2001-05-18,2005-02-05,1361,2005-02-06,2008-10-28
6142660,14973,10481,1984-01-01,2012-09-10,2246,2012-09-11,2018-11-04,2246,2018-11-05,2024-12-28
6142680,14973,10481,1984-01-01,2012-09-10,2246,2012-09-11,2018-11-04,2246,2018-11-05,2024-12-28
6144100,14973,10481,1984-01-01,2012-09-10,2246,2012-09-11,2018-11-04,2246,2018-11-05,2024-12-28
6144150,14607,10224,1984-01-01,2011-12-28,2191,2011-12-29,2017-12-27,2192,2017-12-28,2023-12-28
6144200,14607,10224,1984-01-01,2011-12-28,2191,2011-12-29,2017-12-27,2192,2017-12-28,2023-12-28
6144300,14607,10224,1984-01-01,2011-12-28,2191,2011-12-29,2017-12-27,2192,2017-12-28,2023-12-28
6144350,14607,10224,1984-01-01,2011-12-28,2191,2011-12-29,2017-12-27,2192,2017-12-28,2023-12-28
6144400,9068,6347,1984-01-01,2001-05-17,1360,2001-05-18,2005-02-05,1361,2005-02-06,2008-10-28
6144490,1824,1276,1984-01-01,1987-06-29,274,1987-06-30,1988-03-29,274,1988-03-30,1988-12-28
6158100,14973,10481,1984-01-01,2012-09-10,2246,2012-09-11,2018-11-04,2246,2018-11-05,2024-12-28
